"Privacy Settings","Réglages privés"
"Information","Information"
"Export your personal data","Exporter vos données personnelles"
"Export my data","Exporter mes données"
"Account deletion","Effacer le compte"
"Attention!","Attention!"
"Your account will be deleted soon. You can undo this action.","Votre compte va être effacé bientôt, vous pouvez annuler cette action."
"Undo deletion","Annuler annulation"
"Delete my account","Effacer mon compte"
"Delete Account","Effacer compte"
"Password","Mot de passe"
"Reason","Raison"
"Delete my account","Effacer mon compte"
"Cookie Policy","Politique des cookies"
"Click here to learn about cookies","Cliquer pour plus d'informations sur les cookies"
"Agree","Acceptation"
